,#,# nodes,cpu ,hyp cores,CPU ram (GB),TOT RAM,GPU ,tot hyp cluster cores
,4,16,Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,40,128,8192,,2560
,1,32,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,56,128,4096,,1792
,1,34,Intel Xeon E5 2650 v3,40,128,4352,,1360
,4,1,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz,144,1280,5120,,576
,3,1,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz,144,1280,3840,4 x Nv Tesla V100,432
,1,1,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz,144,1280,1280,4 x Nv Tesla K80,144
informatica,2,1,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,48,192,384,,96
,1,32,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,40,128,4096,,1280
informatica,1,1,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,56,384,384,4 x Nv Testla T4,56
,2,1,AMD EPYC 7301 16-Core Processor,64,256,512,5 x Testla T4,128
TOT,20,120,2400,776,,32256,,8424

